fname,plate,mjd,fiberID,subClass,group
spec-0300-51666-0457.fits,300,51666,457,A0,hot
spec-0433-51873-0133.fits,433,51873,133,B9,hot
spec-0602-52072-0399.fits,602,52072,399,A0,hot
spec-0301-51942-0624.fits,301,51942,624,A0,hot
spec-0298-51662-0307.fits,298,51662,307,A0,hot
spec-0443-51873-0421.fits,443,51873,421,A0,hot
spec-0275-51910-0397.fits,275,51910,397,A0,hot
spec-0333-52313-0005.fits,333,52313,5,A0,hot
spec-0569-52264-0430.fits,569,52264,430,A0,hot
spec-0414-51869-0588.fits,414,51869,588,A0,hot
spec-0418-51884-0164.fits,418,51884,164,A0,hot
spec-0412-52250-0366.fits,412,52250,366,A0,hot
spec-0568-52254-0269.fits,568,52254,269,A0,hot
spec-0560-52296-0027.fits,560,52296,27,A0,hot
spec-0517-52024-0639.fits,517,52024,639,A0,hot
spec-0339-51692-0534.fits,339,51692,534,A0,hot
spec-0367-51997-0371.fits,367,51997,371,A0,hot
spec-0693-52254-0153.fits,693,52254,153,A0,hot
spec-0309-51994-0339.fits,309,51994,339,A0,hot
spec-0326-52375-0161.fits,326,52375,161,A0,hot
spec-0335-52000-0553.fits,335,52000,553,A0,hot
spec-0655-52162-0295.fits,655,52162,295,A0,hot
spec-0302-51688-0231.fits,302,51688,231,A0,hot
spec-0469-51913-0349.fits,469,51913,349,B6,hot
spec-0300-51666-0449.fits,300,51666,449,A0,hot
spec-0307-51663-0085.fits,307,51663,85,A0,hot
spec-0570-52266-0281.fits,570,52266,281,A0,hot
spec-0568-52254-0058.fits,568,52254,58,A0,hot
spec-0472-51955-0245.fits,472,51955,245,A0,hot
spec-0604-52079-0071.fits,604,52079,71,A0,hot
spec-0524-52027-0008.fits,524,52027,8,A0,hot
spec-0406-51900-0422.fits,406,51900,422,A0,hot
spec-0356-51779-0096.fits,356,51779,96,A0,hot
spec-0635-52145-0446.fits,635,52145,446,B9,hot
spec-0300-51943-0202.fits,300,51943,202,A0,hot
spec-0384-51821-0381.fits,384,51821,381,A0,hot
spec-0539-52017-0076.fits,539,52017,76,A0,hot
spec-0572-52289-0637.fits,572,52289,637,A0,hot
spec-0298-51955-0051.fits,298,51955,51,A0p,hot
spec-0348-51696-0596.fits,348,51696,596,A0,hot
spec-0293-51994-0385.fits,293,51994,385,A0,hot
spec-0711-52202-0321.fits,711,52202,321,A0,hot
spec-0290-51941-0548.fits,290,51941,548,A0,hot
spec-0561-52295-0558.fits,561,52295,558,A0,hot
spec-0302-51688-0459.fits,302,51688,459,A0,hot
spec-0357-51813-0278.fits,357,51813,278,A0,hot
spec-0342-51691-0345.fits,342,51691,345,A0,hot
spec-0416-51885-0629.fits,416,51885,629,A0,hot
spec-0542-51993-0122.fits,542,51993,122,B6,hot
spec-0341-51690-0553.fits,341,51690,553,A0,hot
spec-0523-52026-0110.fits,523,52026,110,A0,hot
spec-0310-51990-0216.fits,310,51990,216,A0,hot
spec-0648-52559-0511.fits,648,52559,511,OB,hot
spec-0297-51663-0403.fits,297,51663,403,A0,hot
spec-0433-51873-0494.fits,433,51873,494,A0p,hot
spec-0301-51641-0088.fits,301,51641,88,A0,hot
spec-0306-51637-0048.fits,306,51637,48,A0,hot
spec-0538-52029-0287.fits,538,52029,287,A0,hot
spec-0493-51957-0237.fits,493,51957,237,A0,hot
spec-0654-52146-0011.fits,654,52146,11,A0,hot
spec-0372-52173-0460.fits,372,52173,460,A0,hot
spec-0579-52338-0579.fits,579,52338,579,A0,hot
spec-0407-51820-0173.fits,407,51820,173,A0,hot
spec-0308-51662-0005.fits,308,51662,5,A0,hot
spec-0301-51641-0560.fits,301,51641,560,A0,hot
spec-0341-51690-0306.fits,341,51690,306,A0,hot
spec-0413-51929-0050.fits,413,51929,50,A0,hot
spec-0637-52174-0294.fits,637,52174,294,A0,hot
spec-0545-52202-0564.fits,545,52202,564,A0,hot
spec-0599-52317-0051.fits,599,52317,51,A0,hot
spec-0705-52200-0566.fits,705,52200,566,A0,hot
spec-0467-51901-0135.fits,467,51901,135,A0,hot
spec-0288-52000-0063.fits,288,52000,63,OB,hot
spec-0574-52347-0172.fits,574,52347,172,A0,hot
spec-0301-51641-0058.fits,301,51641,58,A0,hot
spec-0483-51942-0303.fits,483,51942,303,A0,hot
spec-0474-52000-0372.fits,474,52000,372,A0,hot
spec-0297-51663-0289.fits,297,51663,289,A0,hot
spec-0620-52375-0316.fits,620,52375,316,O,hot
spec-0483-51902-0325.fits,483,51902,325,A0,hot
spec-0348-51671-0498.fits,348,51671,498,A0,hot
spec-0557-52253-0630.fits,557,52253,630,OB,hot
spec-0302-51688-0167.fits,302,51688,167,A0,hot
spec-0293-51689-0195.fits,293,51689,195,A0,hot
spec-0420-51871-0349.fits,420,51871,349,A0,hot
spec-0337-51997-0524.fits,337,51997,524,A0p,hot
spec-0570-52266-0211.fits,570,52266,211,A0,hot
spec-0371-52078-0531.fits,371,52078,531,A0,hot
spec-0502-51957-0074.fits,502,51957,74,A0,hot
spec-0307-51663-0529.fits,307,51663,529,A0,hot
spec-0499-51988-0326.fits,499,51988,326,A0,hot
spec-0449-51900-0249.fits,449,51900,249,A0,hot
spec-0291-51660-0339.fits,291,51660,339,A0,hot
spec-0538-52029-0378.fits,538,52029,378,A0,hot
spec-0406-51900-0353.fits,406,51900,353,A0,hot
spec-0425-51884-0500.fits,425,51884,500,A0,hot
spec-0491-51942-0092.fits,491,51942,92,A0,hot
spec-0340-51990-0571.fits,340,51990,571,A0,hot
spec-0301-51942-0409.fits,301,51942,409,A0,hot
spec-0380-51792-0272.fits,380,51792,272,A0,hot
spec-0298-51662-0239.fits,298,51662,239,A0,hot
spec-0439-51877-0398.fits,439,51877,398,B9,hot
spec-0616-52374-0416.fits,616,52374,416,A0,hot
spec-0587-52026-0063.fits,587,52026,63,A0,hot
